step,state,score,best
0,66,0.9481428571428572,False
1,66,0.9481428571428572,False
2,100,0.9408095238095238,False
3,71,0.9469761904761904,False
4,86,0.9437380952380953,False
5,81,0.9448809523809524,False
6,100,0.9408095238095238,True
7,64,0.9485238095238095,False
8,99,0.9411190476190476,False
9,71,0.9469761904761904,True
10,45,0.9532142857142858,True
11,35,0.9562380952380952,False
12,54,0.950595238095238,False
13,38,0.9553809523809524,False
14,55,0.9503809523809523,False
15,56,0.950047619047619,False
16,65,0.9482380952380952,False
17,58,0.9498571428571428,False
18,63,0.9487380952380953,False
19,61,0.9493095238095238,False
20,35,0.9494523809523809,True
21,26,0.9595476190476191,True
22,21,0.9616666666666667,False
23,24,0.9598571428571429,True
24,20,0.9617380952380953,False
25,21,0.9616666666666667,False
