k,weight_type,accuracy,recall,precision,f1
4,uniform,0.9659285714285715,0.9653552691344944,0.9665060048479504,0.9656857710691019
4,distance_pow,0.9706666666666667,0.97024985015083,0.971025298061375,0.9704988293271205
2,uniform,0.9607619047619047,0.9600270648841563,0.9616073742126312,0.9603227662364809
2,distance_pow,0.9668809523809524,0.9664254979483081,0.9671124893795771,0.966640706917815
1,uniform,0.9668809523809524,0.9664254979483081,0.9671124893795771,0.966640706917815
1,distance_pow,0.9668809523809524,0.9664254979483081,0.9671124893795771,0.966640706917815
6,uniform,0.965452380952381,0.9648679107014319,0.966240962902262,0.9652854680409698
6,distance_pow,0.9701190476190477,0.9696553312013293,0.9706182218819942,0.9699763674305082
8,uniform,0.9645952380952381,0.9640263300412135,0.9654791595078736,0.9644675948444165
8,distance_pow,0.9697380952380952,0.9692591537255187,0.9703295055280695,0.9696107231656276
10,uniform,0.9630714285714286,0.9625094511085126,0.9641369282768485,0.9629933678267156
10,distance_pow,0.9690952380952381,0.9686452698760372,0.9698015057376234,0.969018358633839
