step,state,score,best
0,"(15, 60)",0.9655714285714285,False
1,"(15, 60)",0.9655714285714285,False
2,"(31, 60)",0.9579285714285715,False
3,"(31, 57)",0.958452380952381,True
4,"(1, 57)",0.9707619047619047,False
5,"(43, 57)",0.9538333333333333,False
6,"(43, 41)",0.9558095238095238,False
7,"(23, 41)",0.9630952380952381,False
8,"(16, 41)",0.9660952380952381,False
9,"(16, 6)",0.8328571428571429,False
10,"(1, 6)",0.7842142857142858,False
11,"(1, 9)",0.8913095238095239,False
12,"(21, 9)",0.9066428571428571,False
13,"(16, 9)",0.9079999999999999,False
14,"(16, 1)",0.2824285714285714,False
15,"(34, 1)",0.2899047619047619,False
16,"(41, 1)",0.2905952380952381,False
17,"(64, 1)",0.2927142857142857,False
18,"(27, 1)",0.2869047619047619,False
19,"(60, 1)",0.2924285714285714,False
20,"(28, 1)",0.28788095238095235,False
21,"(55, 1)",0.2915238095238095,False
22,"(55, 10)",0.9093333333333333,False
23,"(1, 57)",0.9093333333333333,False
24,"(1, 37)",0.9707142857142858,False
25,"(20, 37)",0.9642619047619048,False
26,"(20, 18)",0.9565,False
27,"(45, 18)",0.9479285714285715,False
28,"(3, 18)",0.9629047619047619,True
29,"(3, 51)",0.9722619047619048,False
30,"(3, 81)",0.970047619047619,False
31,"(3, 69)",0.970952380952381,False
32,"(20, 69)",0.9623571428571428,False
33,"(18, 69)",0.9631904761904762,False
34,"(25, 69)",0.960047619047619,False
35,"(39, 69)",0.9536666666666667,False
36,"(12, 69)",0.9667619047619047,False
37,"(1, 69)",0.9699285714285715,False
38,"(1, 72)",0.9702619047619048,False
39,"(1, 66)",0.9702619047619048,False
40,"(20, 66)",0.9622142857142857,False
41,"(20, 87)",0.9605238095238096,False
42,"(20, 50)",0.9641428571428572,False
43,"(28, 50)",0.9601666666666666,False
44,"(51, 50)",0.9523333333333334,False
45,"(52, 50)",0.9517857142857142,False
46,"(50, 50)",0.9525476190476191,False
47,"(50, 84)",0.948,False
48,"(3, 51)",0.9483571428571429,False
49,"(3, 22)",0.9681190476190477,True
50,"(3, 53)",0.9722857142857143,False
