clf,fit_elapsed,predict_elapsed,sample_size,split,total_elapsed
knn,0.03356122970581055,201.24489998817444,42000,20-80,201.27846121788025
knn,0.18692278861999512,312.8731482028961,42000,50-50,313.0600709915161
knn,0.29692506790161133,199.8995213508606,42000,80-20,200.1964464187622
knn+pca,1.3861103057861328,10.408749341964722,42000,20-80,11.794859647750854
knn+pca,2.910860061645508,17.644654512405396,42000,50-50,20.555514574050903
knn+pca,4.449685096740723,10.747150182723999,42000,80-20,15.196835279464722
knn,0.05487060546875,200.680561542511,42000,20-80,200.73543214797974
knn,0.19451570510864258,314.5517349243164,42000,50-50,314.74625062942505
knn,0.30298781394958496,201.03791856765747,42000,80-20,201.34090638160706
knn+pca,1.402845859527588,11.036214351654053,42000,20-80,12.43906021118164
knn+pca,2.925865888595581,16.441083669662476,42000,50-50,19.366949558258057
knn+pca,4.4814817905426025,11.475983142852783,42000,80-20,15.957464933395386
knn,0.056508779525756836,200.71005129814148,42000,20-80,200.76656007766724
knn,0.1929621696472168,314.2787744998932,42000,50-50,314.4717366695404
knn,0.30306553840637207,200.88159656524658,42000,80-20,201.18466210365295
knn+pca,1.405026912689209,10.44123363494873,42000,20-80,11.84626054763794
knn+pca,2.9444823265075684,17.197500705718994,42000,50-50,20.141983032226562
knn+pca,4.458951473236084,10.751904249191284,42000,80-20,15.210855722427368
knn,0.05746006965637207,200.44110941886902,42000,20-80,200.4985694885254
knn,0.19181323051452637,312.11957120895386,42000,50-50,312.3113844394684
knn,0.298201322555542,199.59326672554016,42000,80-20,199.8914680480957
knn+pca,1.3998680114746094,11.041679382324219,42000,20-80,12.441547393798828
knn+pca,2.9280829429626465,16.583641529083252,42000,50-50,19.5117244720459
knn+pca,4.458126783370972,11.44903564453125,42000,80-20,15.907162427902222
knn,0.0579986572265625,199.0249412059784,42000,20-80,199.08293986320496
knn,0.1952369213104248,312.87943506240845,42000,50-50,313.0746719837189
knn,0.30128931999206543,200.02577257156372,42000,80-20,200.3270618915558
knn+pca,1.407660722732544,10.448498964309692,42000,20-80,11.856159687042236
knn+pca,2.9361603260040283,17.30356764793396,42000,50-50,20.23972797393799
knn+pca,4.4762349128723145,10.75447392463684,42000,80-20,15.230708837509155
knn,0.054608821868896484,200.34648633003235,42000,20-80,200.40109515190125
knn,0.19443345069885254,312.5245244503021,42000,50-50,312.718957901001
knn,0.30139684677124023,199.91303157806396,42000,80-20,200.2144284248352
knn+pca,1.412905216217041,11.03680944442749,42000,20-80,12.449714660644531
knn+pca,2.9236087799072266,16.124964714050293,42000,50-50,19.04857349395752
knn+pca,4.443022012710571,11.428760766983032,42000,80-20,15.871782779693604
knn,0.05850410461425781,201.21384930610657,42000,20-80,201.27235341072083
knn,0.19156956672668457,312.854127407074,42000,50-50,313.04569697380066
knn,0.30327367782592773,200.75557923316956,42000,80-20,201.05885291099548
knn+pca,1.4064795970916748,10.408296346664429,42000,20-80,11.814775943756104
knn+pca,2.939655065536499,17.54644274711609,42000,50-50,20.486097812652588
knn+pca,4.456952810287476,10.735461711883545,42000,80-20,15.19241452217102
knn,0.05527830123901367,200.04729199409485,42000,20-80,200.10257029533386
knn,0.1917860507965088,312.9038209915161,42000,50-50,313.0956070423126
knn,0.3059535026550293,199.97257256507874,42000,80-20,200.27852606773376
knn+pca,1.4094290733337402,11.072595834732056,42000,20-80,12.482024908065796
knn+pca,2.92692232131958,16.402370929718018,42000,50-50,19.329293251037598
knn+pca,4.4600348472595215,11.446325063705444,42000,80-20,15.906359910964966
knn,0.05505061149597168,199.7873067855835,42000,20-80,199.84235739707947
knn,0.19529128074645996,311.885324716568,42000,50-50,312.08061599731445
knn,0.30733704566955566,200.11223769187927,42000,80-20,200.41957473754883
knn+pca,1.4051969051361084,10.40702509880066,42000,20-80,11.812222003936768
knn+pca,2.928382158279419,17.167375326156616,42000,50-50,20.095757484436035
knn+pca,4.440426826477051,10.705235004425049,42000,80-20,15.1456618309021
